Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 1 vs Lakers,3:11.0,89.0,92.0,Tyson Chandler,Make,2PT,3:11.0	T. Chandler makes 2-pt dunk from 2 ft (assist by J. Kidd)	+2	89-92
Game 1 vs Lakers,2:42.0,92.0,89.0,Kobe Bryant,Miss,,misses 2-pt jump shot from 19 ft
Game 1 vs Lakers,2:24.0,89.0,92.0,Dirk Nowitzki,Miss,2PT,2:24.0	D. Nowitzki misses 2-pt jump shot from 11 ft	 	89-92
Game 1 vs Lakers,1:20.0,91.0,92.0,Shawn Marion,Make,2PT,1:20.0	S. Marion makes 2-pt jump shot from 6 ft (assist by J. Kidd)	+2	91-92
Game 1 vs Lakers,1:00.0,94.0,91.0,Kobe Bryant,Make,,makes 2-pt jump shot from 10 ft
Game 1 vs Lakers,0:40.0,93.0,94.0,Dirk Nowitzki,Make,2PT,0:40.0	D. Nowitzki makes 2-pt jump shot from 9 ft	+2	93-94
Game 1 vs Lakers,0:20.9,94.0,93.0,Kobe Bryant,Turnover,,Turnover by K. Bryant (bad pass; steal by J. Terry)
Game 1 vs Lakers,0:19.5,94.0,94.0,Dirk Nowitzki,Make,FT,0:19.5	D. Nowitzki makes free throw 1 of 2	+1	94-94
Game 1 vs Lakers,0:19.5,95.0,94.0,Dirk Nowitzki,Make,FT,0:19.5	D. Nowitzki makes free throw 2 of 2	+1	95-94
Game 1 vs Lakers,0:08.8,95.0,94.0,Jason Kidd,Foul,,0:08.8	 	 	95-94	 	Personal take foul by J. Kidd (drawn by K. Bryant)
Game 1 vs Lakers,0:03.1,95.0,94.0,Jason Kidd,Miss,FT,0:03.1	J. Kidd misses free throw 1 of 2	 	95-94
Game 1 vs Lakers,0:03.1,96.0,94.0,Jason Kidd,Make,FT,0:03.1	J. Kidd makes free throw 2 of 2	+1	96-94
Game 1 vs Lakers,0:02.7,94.0,96.0,Kobe Bryant,Miss,,misses 3-pt jump shot from 26 ft
