--- SECTION 1: CLUTCH IDENTITY SUMMARY (FG and FT) ---
Player,FGM,FGA,FG%,FTM,FTA,FT%
Dirk Nowitzki,31,52,59.62,54,58,93.1
Jason Terry,10,34,29.41,16,16,100.0
Jason Kidd,6,15,40.0,13,16,81.25
Shawn Marion,7,10,70.0,7,8,87.5
Tyson Chandler,3,7,42.86,2,4,50.0
Peja Stojakovic,1,3,33.33,0,0,0.0
DeShawn Stevenson,0,2,0.0,2,2,100.0
J.J. Barea,1,1,100.0,2,4,50.0
Brendan Haywood,0,0,0.0,0,2,0.0


--- SECTION 2: FULL PLAY-BY-PLAY LOG WITH SPLIT SCORES ---
Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 3 v Portland,3:41.0,85,91,J.J. Barea,Make,FT,3:41.0	J. Barea makes free throw 1 of 2	+1	85-91
Game 3 v Portland,3:41.0,85,91,J.J. Barea,Miss,FT,3:41.0	J. Barea misses free throw 2 of 2	 	85-91
Game 3 v Portland,3:05.0,85,93,Jason Terry,Turnover,N/A,3:05.0	Turnover by J. Terry (lost ball; steal by L. Aldridge)	 	85-93
Game 3 v Portland,2:40.0,87,93,J.J. Barea,Make,2PT,2:40.0	J. Barea makes 2-pt layup from 1 ft	+2	87-93
Game 3 v Portland,1:58.0,87,95,Jason Terry,Miss,3PT,1:58.0	J. Terry misses 3-pt jump shot from 25 ft	 	87-95
Game 3 v Portland,1:25.0,87,95,Dirk Nowitzki,Miss,FT,1:25.0	D. Nowitzki misses free throw 1 of 2	 	87-95
Game 3 v Portland,1:25.0,88,95,Dirk Nowitzki,Make,FT,1:25.0	D. Nowitzki makes free throw 2 of 2	+1	88-95
Game 3 v Portland,0:42.9,90,95,Dirk Nowitzki,Make,2PT,0:42.9	D. Nowitzki makes 2-pt jump shot from 10 ft	+2	90-95
Game 3 v Portland,0:12.9,92,95,Jason Kidd,Make,2PT,0:12.9	J. Kidd makes 2-pt jump shot from 23 ft	+2	92-95
Game 3 v Portland,0:09.6,92,95,Jason Kidd,Foul,N/A,0:09.6	 	 	92-95	 	Personal foul by J. Kidd (drawn by A. Miller)
Game 3 v Portland,0:06.9,92,97,Jason Kidd,Miss,3PT,0:06.9	J. Kidd misses 3-pt jump shot from 25 ft	 	92-97
Game 4 vs Portland,4:46.0,77,66,Tyson Chandler,Miss,2PT,4:46.0	T. Chandler misses 2-pt jump shot from 7 ft	 	77-66
